Application: Tecan i-control,
Device: infinite 200Pro,

Label1,
Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
A9,0.0458,0.0524,0.0551,0.0603,0.0734,0.0796,0.0892,0.1059,0.1288,0.1593,0.1904,0.2325,0.2791,0.3426,0.411,0.4797,0.5658,0.6326,0.7083,0.7794,0.8389,0.8914,0.9339,0.9599,0.9958,1.015,1.0279,1.042,1.0499,1.0612,1.0642,1.064,1.0753,1.0775,1.0764,1.0744,1.08,1.0757,1.0774,1.0818,1.0815,1.0805,1.0793,1.0801,1.0814,1.0818,1.0773,1.0765,1.082
A10,0.0516,0.0529,0.0568,0.064,0.0662,0.078,0.0911,0.1054,0.1272,0.1524,0.1906,0.2294,0.285,0.3338,0.4042,0.4797,0.5507,0.6227,0.6951,0.7639,0.8257,0.8741,0.9079,0.9448,0.9729,0.9897,1.0109,1.0149,1.0307,1.0362,1.0411,1.0454,1.0498,1.0522,1.0522,1.049,1.0511,1.0517,1.0579,1.0557,1.0572,1.0528,1.0555,1.0584,1.0566,1.0568,1.057,1.0603,1.0557
A11,0.0477,0.0567,0.0552,0.0593,0.0641,0.0758,0.0923,0.1032,0.1309,0.1588,0.1912,0.231,0.287,0.3431,0.4116,0.483,0.564,0.6423,0.7133,0.7892,0.8436,0.8946,0.94,0.9749,0.9976,1.0212,1.0393,1.0487,1.0628,1.0615,1.0705,1.0778,1.0819,1.0819,1.0819,1.0878,1.0813,1.0874,1.0849,1.0878,1.0828,1.0916,1.0888,1.0834,1.0846,1.0927,1.0894,1.083,1.0882
A12,0.054,0.0551,0.0553,0.062,0.0719,0.0732,0.0895,0.1034,0.1257,0.1506,0.1814,0.2239,0.264,0.3262,0.3835,0.4583,0.5295,0.6043,0.6713,0.7307,0.7856,0.8399,0.8778,0.9084,0.9343,0.9531,0.9695,0.9791,0.9852,0.9962,1.0044,1.0102,1.0082,1.01,1.0142,1.013,1.0126,1.0099,1.0116,1.0162,1.0117,1.0183,1.0123,1.0153,1.0159,1.0159,1.0164,1.0176,1.0157
B1,0.054,0.0549,0.0541,0.0637,0.0663,0.0781,0.09,0.1038,0.13,0.1527,0.1869,0.232,0.2755,0.3347,0.3998,0.4749,0.5485,0.6214,0.697,0.7578,0.8192,0.8634,0.911,0.9425,0.9684,0.9856,1.004,1.0208,1.0281,1.0346,1.0393,1.0431,1.0402,1.042,1.0466,1.0528,1.0515,1.0487,1.0516,1.0521,1.0508,1.0534,1.0517,1.0533,1.0538,1.0514,1.0515,1.0508,1.0534
B2,0.0551,0.0593,0.0589,0.0766,0.0831,0.0946,0.1102,0.1264,0.1478,0.1843,0.2264,0.2673,0.3296,0.4005,0.4769,0.5694,0.6561,0.7521,0.8351,0.9165,0.989,1.0448,1.0965,1.1337,1.1601,1.1892,1.2102,1.224,1.2329,1.238,1.2497,1.2496,1.2521,1.2602,1.2566,1.2624,1.2627,1.2595,1.2676,1.2627,1.2684,1.2636,1.2635,1.2653,1.2644,1.2645,1.263,1.262,1.2675
B3,0.0601,0.0626,0.0709,0.0733,0.0812,0.0826,0.1049,0.1184,0.1455,0.1747,0.2166,0.2618,0.3186,0.3852,0.4626,0.941,0.6356,0.719,0.8046,0.8849,0.9428,1.006,1.054,1.0907,1.1197,1.147,1.1586,1.1717,1.1849,1.1929,1.2015,1.2057,1.2062,1.2073,1.2148,1.2053,1.2102,1.2143,1.21,1.215,1.2122,1.2131,1.2125,1.2178,1.2146,1.2137,1.2173,1.2224,1.2153
B4,0.0545,0.0565,0.0698,0.0724,0.0813,0.0938,0.1059,0.1212,0.1446,0.1807,0.2218,0.2635,0.3304,0.4003,0.4818,0.5644,0.6544,0.7455,0.8296,0.9083,0.9784,1.0395,1.085,1.1243,1.1545,1.1786,1.2013,1.2193,1.2225,1.233,1.2366,1.247,1.2468,1.2508,1.2532,1.2504,1.2543,1.2547,1.258,1.2527,1.2531,1.2592,1.2553,1.2552,1.2576,1.2564,1.263,1.2582,1.258
B5,0.0588,0.061,0.0683,0.0766,0.0802,0.0943,0.1027,0.1284,0.1543,0.182,0.2274,0.2831,0.3371,0.4072,0.4971,0.5795,0.6707,0.7665,0.8548,0.9267,1.0042,1.0614,1.1118,1.1514,1.1786,1.2133,1.2275,1.2487,1.2577,1.2583,1.2678,1.2794,1.2772,1.2748,1.2929,1.2865,1.285,1.2936,1.2932,1.2891,1.2832,1.287,1.2893,1.2858,1.2857,1.2864,1.2807,1.2934,1.2916
B6,0.0561,0.0617,0.0672,0.0692,0.0784,0.0873,0.1078,0.1248,0.1429,0.1776,0.2129,0.2572,0.3184,0.3826,0.4616,0.5406,0.6306,0.7114,0.7958,0.8716,0.9378,0.9942,1.0404,1.0779,1.1122,1.1342,1.1475,1.1672,1.1738,1.1793,1.1876,1.191,1.195,1.1942,1.1965,1.2043,1.2041,1.1993,1.1998,1.2081,1.209,1.2011,1.1997,1.2116,1.2045,1.2045,1.2042,1.2082,1.2035
B7,0.0588,0.0629,0.0692,0.0736,0.0854,0.0964,0.1032,0.1254,0.1495,0.1854,0.233,0.2793,0.3359,0.413,0.4924,0.5829,0.676,0.7642,0.8617,0.9424,1.0104,1.0686,1.119,1.1676,1.2,1.2205,1.2434,1.2582,1.2731,1.2781,1.2886,1.2883,1.2934,1.2968,1.2955,1.3035,1.3004,1.3028,1.3006,1.3039,1.3004,1.303,1.3025,1.3047,1.3024,1.3017,1.2996,1.2983,1.2976
B8,0.0568,0.0673,0.0683,0.0708,0.0846,0.0874,0.1079,0.1312,0.1518,0.1888,0.2308,0.2721,0.3328,0.4047,0.4898,0.5788,0.672,0.7643,0.8517,0.932,1.0009,1.0584,1.1091,1.153,1.1888,1.2139,1.2222,1.2402,1.258,1.2589,1.2635,1.2749,1.2818,1.285,1.2827,1.2847,1.2853,1.2843,1.2749,1.2877,1.2846,1.289,1.2843,1.2814,1.2901,1.287,1.297,1.2893,1.2897
B9,0.0569,0.0616,0.0663,0.0764,0.0847,0.1003,0.1107,0.1258,0.1503,0.1895,0.2245,0.2787,0.3374,0.4095,0.486,0.5714,0.668,0.761,0.8476,0.9318,0.998,1.055,1.1098,1.1481,1.1838,1.2039,1.2225,1.2348,1.2466,1.2553,1.2581,1.2718,1.2755,1.2729,1.2773,1.2807,1.2828,1.2823,1.2829,1.2826,1.2793,1.2832,1.2858,1.2809,1.2861,1.2846,1.2837,1.2832,1.2884
B10,0.0565,0.0605,0.064,0.066,0.084,0.0948,0.1063,0.1236,0.1477,0.1825,0.2215,0.2709,0.3287,0.3999,0.4779,0.564,0.6535,0.7466,0.8242,0.9105,0.9743,1.0341,1.0834,1.1213,1.1461,1.1772,1.197,1.2059,1.2236,1.2283,1.2405,1.2415,1.2417,1.2471,1.2493,1.2527,1.2505,1.2456,1.2484,1.2502,1.2543,1.2524,1.2516,1.251,1.2541,1.2512,1.2526,1.251,1.2497
B11,0.0593,0.0673,0.0711,0.0769,0.0807,0.0978,0.1083,0.1329,0.1489,0.1842,0.2258,0.2779,0.3355,0.4097,0.4831,0.5762,0.6687,0.7627,0.8484,0.9278,1.0032,1.0641,1.11,1.1508,1.1858,1.2115,1.2338,1.2468,1.2617,1.2657,1.2754,1.2715,1.2766,1.2792,1.2788,1.2864,1.2806,1.29,1.2882,1.2897,1.2892,1.2934,1.2901,1.2907,1.2839,1.292,1.2887,1.2835,1.2901
B12,0.0524,0.0502,0.0604,0.0641,0.0723,0.0776,0.0866,0.1061,0.1258,0.1605,0.1875,0.2298,0.2835,0.3417,0.409,0.4873,0.5577,0.6387,0.7078,0.7707,0.828,0.8858,0.9234,0.9598,0.9909,1.008,1.0224,1.0304,1.0425,1.0501,1.0585,1.0619,1.0636,1.0662,1.0666,1.0686,1.0701,1.0712,1.0752,1.0681,1.075,1.0731,1.0676,1.071,1.0701,1.0694,1.0679,1.0706,1.0708
C1,0.0507,0.0488,0.0598,0.0643,0.0728,0.0778,0.0924,0.1028,0.1282,0.1532,0.1882,0.2288,0.2728,0.3348,0.4042,0.4697,0.548,0.6214,0.6925,0.7603,0.8189,0.8646,0.9073,0.9416,0.9626,0.9899,0.9995,1.0187,1.023,1.0281,1.0384,1.0388,1.0457,1.0424,1.0437,1.0456,1.0435,1.0488,1.0477,1.0443,1.0502,1.0494,1.0496,1.049,1.0487,1.0475,1.0515,1.0514,1.0522
C2,0.0599,0.0612,0.0693,0.0689,0.0808,0.0896,0.1033,0.1264,0.1494,0.1811,0.2134,0.2613,0.3133,0.3834,0.4655,0.5414,0.6253,0.7151,0.8012,0.8683,0.9389,0.9978,1.0493,1.0795,1.1159,1.1334,1.1496,1.163,1.1761,1.1846,1.1895,1.198,1.1987,1.2003,1.2006,1.1999,1.1989,1.2061,1.2061,1.2105,1.2076,1.2094,1.2072,1.2048,1.2082,1.2084,1.205,1.2074,1.2135
C3,0.0592,0.0595,0.0629,0.0757,0.0817,0.0921,0.1085,0.1268,0.1482,0.1706,0.2127,0.2555,0.3209,0.3819,0.4523,0.5411,0.6264,0.7164,0.7948,0.8775,0.9394,0.9913,1.0363,1.0783,1.1071,1.1316,1.1518,1.1625,1.1703,1.1875,1.1937,1.2,1.1984,1.1976,1.2004,1.1983,1.2054,1.1983,1.2,1.2089,1.2141,1.2052,1.2106,1.2022,1.2082,1.2044,1.2007,1.2045,1.2048
C4,0.0584,0.0648,0.0653,0.0732,0.0829,0.0865,0.1027,0.1253,0.145,0.1684,0.2113,0.2632,0.3162,0.3827,0.459,0.5438,0.6262,0.7151,0.7977,0.8683,0.9377,0.993,1.0427,1.0748,1.1139,1.1366,1.148,1.1623,1.1719,1.182,1.1868,1.193,1.1903,1.1988,1.2002,1.1967,1.2033,1.2034,1.2031,1.2042,1.2057,1.2058,1.2036,1.2085,1.205,1.2048,1.2081,1.2082,1.2032
C5,0.047,0.0479,0.0465,0.0447,0.0509,0.0496,0.0519,0.05,0.0512,0.0485,0.0471,0.0523,0.0523,0.0448,0.0526,0.0447,0.0499,0.0488,0.0496,0.0533,0.0462,0.0492,0.0577,0.0456,0.0481,0.0499,0.0506,0.0484,0.0492,0.0533,0.0495,0.0508,0.0511,0.0512,0.0515,0.0502,0.0479,0.0498,0.0471,0.0503,0.049,0.0496,0.0467,0.0492,0.0467,0.0488,0.0516,0.0507,0.0527
C6,0.0617,0.0628,0.0635,0.076,0.0787,0.09,0.1055,0.1209,0.1516,0.1807,0.2199,0.2717,0.3346,0.4036,0.485,0.5682,0.6623,0.7568,0.8361,0.919,0.9923,1.0502,1.1037,1.1431,1.169,1.1971,1.2117,1.2277,1.243,1.2481,1.2556,1.2615,1.2592,1.2633,1.2693,1.268,1.2676,1.27,1.2649,1.268,1.272,1.2665,1.2719,1.2726,1.268,1.2746,1.2698,1.2729,1.2683
C7,0.0619,0.0604,0.0638,0.0775,0.0789,0.0952,0.1073,0.1278,0.1523,0.1837,0.2231,0.2687,0.3269,0.3923,0.4695,0.5563,0.6466,0.7329,0.8234,0.8965,0.9686,1.0288,1.0711,1.1168,1.1384,1.1695,1.1919,1.2032,1.215,1.2186,1.2272,1.2342,1.2303,1.2398,1.2344,1.2385,1.2489,1.2433,1.2421,1.2457,1.2424,1.2452,1.2425,1.2366,1.2451,1.2423,1.2421,1.2439,1.2479
C8,0.0549,0.0646,0.0628,0.075,0.0792,0.0947,0.1098,0.1271,0.1448,0.178,0.2286,0.2763,0.3309,0.4037,0.4766,0.5685,0.6546,0.7447,0.834,0.915,0.9812,1.0407,1.0948,1.1365,1.1631,1.1837,1.206,1.2226,1.2279,1.2377,1.2496,1.2565,1.2501,1.2552,1.2589,1.2609,1.2608,1.2596,1.265,1.2646,1.2631,1.2639,1.261,1.2635,1.2653,1.2601,1.2641,1.2604,1.2674
C9,0.0572,0.0602,0.0641,0.0719,0.0831,0.0938,0.1069,0.126,0.146,0.1772,0.2181,0.2627,0.3181,0.3843,0.473,0.5432,0.6355,0.7284,0.8085,0.8819,0.9514,1.0126,1.0553,1.0914,1.1278,1.1527,1.1624,1.1814,1.1901,1.1997,1.2051,1.2079,1.2126,1.2101,1.2114,1.2191,1.2182,1.2183,1.2142,1.218,1.2206,1.2187,1.2206,1.2217,1.2202,1.2219,1.22,1.2198,1.22
C10,0.0587,0.0661,0.0715,0.0751,0.0825,0.0879,0.1128,0.1281,0.1534,0.1871,0.2239,0.2714,0.3336,0.4021,0.4873,0.5721,0.6639,0.7548,0.8466,0.9198,0.9937,1.0499,1.1043,1.1446,1.1775,1.2013,1.2223,1.2349,1.2463,1.2584,1.263,1.2695,1.2708,1.2697,1.2734,1.2695,1.2762,1.276,1.28,1.279,1.2811,1.2849,1.2756,1.2779,1.2782,1.2767,1.2837,1.2757,1.2779
C11,0.06,0.0642,0.0715,0.074,0.0836,0.0971,0.1112,0.1291,0.1521,0.1838,0.2261,0.2752,0.3313,0.4026,0.486,0.572,0.6552,0.753,0.835,0.91,0.9886,1.0446,1.0966,1.1394,1.1683,1.1886,1.2081,1.22,1.2314,1.2436,1.2474,1.2548,1.2588,1.2599,1.2596,1.2577,1.2636,1.2609,1.2665,1.2673,1.2663,1.2624,1.2635,1.2644,1.2664,1.2731,1.2633,1.2596,1.2658
C12,0.0474,0.0572,0.0619,0.0659,0.0715,0.0786,0.0894,0.1079,0.1211,0.1547,0.1824,0.2267,0.2707,0.3333,0.393,0.4625,0.539,0.6094,0.6818,0.75,0.7987,0.8493,0.892,0.9288,0.9518,0.9679,0.9858,0.9978,1.0054,1.0125,1.0147,1.022,1.0214,1.0285,1.0245,1.0313,1.0328,1.0332,1.0374,1.0261,1.0293,1.0267,1.0316,1.0285,1.0325,1.0317,1.0263,1.033,1.0352
D1,0.0562,0.0536,0.0551,0.0595,0.0676,0.0768,0.0866,0.1067,0.129,0.15,0.1811,0.2209,0.275,0.3305,0.3906,0.466,0.5405,0.6125,0.6824,0.7494,0.8061,0.8551,0.8913,0.9294,0.9581,0.9787,0.9965,1.0037,1.0093,1.02,1.0266,1.0324,1.0324,1.0361,1.0351,1.0319,1.0338,1.0415,1.0389,1.0358,1.0359,1.0356,1.0385,1.0375,1.0359,1.0414,1.0384,1.0403,1.0374
D2,0.0602,0.0615,0.0651,0.0747,0.0822,0.0947,0.1091,0.1303,0.1551,0.1786,0.2261,0.2701,0.3311,0.4002,0.4785,0.5628,0.653,0.7487,0.8381,0.9122,0.9816,1.0376,1.0834,1.1268,1.1581,1.1827,1.201,1.2196,1.231,1.2374,1.2383,1.2454,1.2529,1.253,1.2508,1.2534,1.2523,1.2588,1.2551,1.2601,1.2616,1.2605,1.2566,1.2547,1.2557,1.2584,1.2571,1.2616,1.2583
D3,0.0595,0.0648,0.0677,0.0708,0.0858,0.085,0.1067,0.1229,0.145,0.1727,0.2112,0.2637,0.314,0.3789,0.452,0.5344,0.6207,0.7019,0.7907,0.8621,0.9319,0.9865,1.0341,1.0633,1.0986,1.1189,1.1376,1.1494,1.1621,1.1695,1.1686,1.1819,1.183,1.182,1.1834,1.186,1.1843,1.1902,1.1948,1.1913,1.1926,1.1868,1.1868,1.1888,1.1938,1.189,1.1934,1.1911,1.1929
D4,0.0634,0.0637,0.0658,0.0743,0.0795,0.0904,0.1104,0.1264,0.1469,0.1723,0.2195,0.2639,0.3141,0.3874,0.4625,0.5448,0.6307,0.7169,0.7991,0.8762,0.9381,0.9973,1.0441,1.0819,1.1089,1.1358,1.1524,1.1686,1.1775,1.1828,1.1926,1.1967,1.197,1.1999,1.2091,1.2044,1.2036,1.2041,1.2082,1.2079,1.2088,1.2063,1.2057,1.2029,1.2096,1.2137,1.2024,1.2097,1.2037
D5,0.0543,0.0672,0.0693,0.0664,0.0828,0.0922,0.1053,0.1222,0.1445,0.1816,0.216,0.2653,0.3254,0.3934,0.4678,0.5515,0.6419,0.7256,0.8143,0.8911,0.9594,1.0158,1.0594,1.0973,1.1301,1.159,1.1758,1.1881,1.1985,1.2105,1.21,1.2216,1.224,1.2225,1.2267,1.2311,1.2334,1.2346,1.2318,1.2305,1.2328,1.2309,1.2288,1.2345,1.2341,1.2359,1.2372,1.2366,1.2346
D6,0.0612,0.0678,0.0576,0.0684,0.078,0.0945,0.1104,0.1236,0.1554,0.1823,0.222,0.2689,0.3292,0.3984,0.4729,0.5575,0.6472,0.7354,0.8237,0.9066,0.9712,1.0282,1.0795,1.1164,1.1525,1.1712,1.1924,1.2034,1.213,1.2206,1.2309,1.2325,1.2398,1.242,1.2474,1.2441,1.243,1.2521,1.2492,1.2477,1.2447,1.2467,1.253,1.2457,1.2493,1.2494,1.2494,1.249,1.2473
D7,0.0618,0.0629,0.0707,0.0724,0.0799,0.0869,0.1086,0.1201,0.1517,0.1849,0.226,0.2764,0.3352,0.4012,0.4864,0.5711,0.6564,0.7528,0.8349,0.917,0.9888,1.049,1.1032,1.1403,1.1694,1.195,1.2142,1.231,1.2431,1.2485,1.2549,1.2621,1.2614,1.2661,1.2681,1.2676,1.269,1.2708,1.2697,1.2725,1.2693,1.2745,1.2721,1.276,1.275,1.2723,1.2728,1.2757,1.2761
D8,0.0596,0.0647,0.0704,0.0738,0.0854,0.0983,0.1101,0.1307,0.1536,0.1862,0.2215,0.2743,0.3345,0.3989,0.4888,0.5694,0.6552,0.7531,0.8421,0.9185,0.9895,1.0523,1.0986,1.1366,1.1705,1.199,1.2148,1.2303,1.2469,1.2468,1.2516,1.2623,1.2582,1.2694,1.2647,1.2679,1.2754,1.2681,1.2697,1.2656,1.2669,1.2682,1.2732,1.2677,1.272,1.2724,1.2711,1.2742,1.273
D9,0.0602,0.0625,0.0658,0.0763,0.0803,0.0926,0.106,0.117,0.1516,0.1812,0.2174,0.2727,0.3235,0.391,0.4725,0.5563,0.6514,0.7385,0.8225,0.9018,0.9679,1.0301,1.0787,1.1172,1.1484,1.1693,1.1941,1.201,1.2229,1.2292,1.232,1.2309,1.2396,1.2359,1.2419,1.2465,1.2477,1.246,1.2458,1.2477,1.2424,1.2463,1.2531,1.2425,1.2527,1.2495,1.2469,1.2547,1.2479
D10,0.0524,0.0683,0.0761,0.075,0.0864,0.0936,0.113,0.1323,0.1514,0.1831,0.2296,0.276,0.3451,0.4148,0.497,0.9857,0.6795,0.7755,0.8616,0.9446,1.0161,1.0802,1.1267,1.1651,1.2012,1.2215,1.2438,1.2618,1.27,1.284,1.2878,1.2898,1.2989,1.2978,1.3027,1.3027,1.303,1.3012,1.2969,1.2993,1.301,1.3036,1.3094,1.3043,1.3006,1.3035,1.3074,1.3073,1.3036
D11,0.0572,0.0641,0.0681,0.0667,0.0828,0.0879,0.102,0.1291,0.1512,0.1759,0.2216,0.2626,0.3249,0.3936,0.4701,0.5535,0.6363,0.723,0.812,0.8847,0.9505,1.0071,1.0617,1.0985,1.1311,1.1486,1.1695,1.1794,1.1934,1.1985,1.2082,1.2114,1.2191,1.2182,1.2179,1.2153,1.2201,1.2205,1.2262,1.2246,1.2217,1.2244,1.2243,1.225,1.2232,1.2277,1.2282,1.2208,1.2273
D12,0.0504,0.0551,0.0595,0.0624,0.0736,0.0787,0.0833,0.1088,0.1229,0.1498,0.1834,0.2216,0.2706,0.3303,0.3882,0.4651,0.5398,0.6128,0.6852,0.7499,0.8069,0.8578,0.8927,0.9271,0.9517,0.974,0.9864,0.9978,1.0093,1.0146,1.0182,1.0238,1.0279,1.0282,1.0284,1.0326,1.0293,1.0325,1.0328,1.0385,1.0284,1.0349,1.0349,1.0345,1.038,1.0333,1.0345,1.0369,1.0338
E1,0.048,0.0525,0.06,0.0602,0.0682,0.0808,0.0918,0.1052,0.1315,0.1507,0.1908,0.2306,0.2732,0.3381,0.4059,0.4745,0.5524,0.6242,0.6987,0.7679,0.827,0.8761,0.9157,0.9526,0.9809,0.9966,1.0141,1.0247,1.035,1.0425,1.047,1.0502,1.0528,1.0563,1.0572,1.0576,1.0608,1.0615,1.0614,1.0585,1.0626,1.0629,1.0612,1.0634,1.0653,1.063,1.0642,1.0655,1.0665
E2,0.0603,0.0644,0.0668,0.0776,0.0838,0.0939,0.1051,0.1278,0.1491,0.1766,0.2171,0.2648,0.3175,0.3903,0.4672,0.553,0.6381,0.7234,0.8102,0.8848,0.9523,1.0136,1.0575,1.0997,1.1306,1.1589,1.1721,1.1887,1.2,1.2063,1.2098,1.2141,1.2192,1.2221,1.2231,1.2193,1.2276,1.224,1.2263,1.223,1.2317,1.2309,1.2284,1.2264,1.2242,1.2279,1.2305,1.2273,1.2302
E3,0.057,0.0638,0.069,0.0734,0.087,0.0886,0.1066,0.134,0.1573,0.1827,0.2309,0.2806,0.3372,0.4146,0.4984,0.5823,0.6805,0.7688,0.8637,0.9413,1.0155,1.0752,1.1315,1.1702,1.2047,1.2305,1.2481,1.2628,1.2756,1.2846,1.2892,1.2952,1.2999,1.3022,1.3061,1.2979,1.3057,1.306,1.3038,1.3043,1.3084,1.306,1.3065,1.309,1.311,1.3138,1.31,1.3137,1.3115
E4,0.0624,0.061,0.0686,0.0714,0.0839,0.0921,0.1041,0.1284,0.1499,0.1854,0.2182,0.2684,0.3299,0.4035,0.4804,0.5686,0.6554,0.7427,0.836,0.9134,0.9899,1.0432,1.0963,1.1311,1.1638,1.1932,1.2062,1.2232,1.2352,1.2438,1.2436,1.2505,1.2547,1.263,1.262,1.2598,1.263,1.2642,1.2621,1.2654,1.2681,1.2691,1.2671,1.2637,1.267,1.2686,1.2675,1.265,1.2694
E5,0.0614,0.0647,0.0683,0.0737,0.0792,0.099,0.104,0.13,0.1518,0.1859,0.2209,0.2657,0.3244,0.3898,0.4746,0.5564,0.6446,0.7336,0.8161,0.8944,0.9665,1.0265,1.071,1.1105,1.1413,1.1652,1.1824,1.199,1.21,1.2166,1.2236,1.2248,1.2304,1.2342,1.2339,1.2352,1.2352,1.2391,1.2387,1.2464,1.2383,1.2392,1.236,1.2419,1.2384,1.2398,1.2422,1.244,1.2387
E6,0.0567,0.0622,0.0699,0.0689,0.0791,0.0922,0.107,0.1203,0.153,0.1788,0.2136,0.262,0.3266,0.3971,0.4668,0.5539,0.6451,0.7287,0.8133,0.8879,0.9593,1.0226,1.071,1.1012,1.1367,1.1633,1.1789,1.1883,1.2042,1.2059,1.2168,1.2235,1.2225,1.2243,1.2247,1.2301,1.2343,1.2303,1.2362,1.231,1.2329,1.2317,1.2345,1.2349,1.2332,1.2307,1.237,1.2303,1.2337
E7,0.0607,0.0661,0.061,0.075,0.0836,0.0923,0.1009,0.1219,0.1395,0.1732,0.2101,0.2599,0.3215,0.3819,0.4544,0.5399,0.6247,0.7084,0.7872,0.8656,0.9319,0.9868,1.0382,1.0768,1.0966,1.1239,1.1368,1.1524,1.163,1.1716,1.1831,1.1797,1.187,1.1902,1.1903,1.1926,1.19,1.1913,1.1912,1.187,1.1958,1.1929,1.1938,1.1964,1.1947,1.1942,1.193,1.1995,1.1951
