"well","time","value"
"A6",0,0.0524
"A6",0.5,0.0509
"A6",1,0.0543
"A6",1.5,0.0622
"A6",2,0.0657
"A6",2.5,0.0781
"A6",3,0.0927
"A6",3.5,0.1021
"A6",4,0.1228
"A6",4.5,0.1504
"A6",5,0.18
"A6",5.5,0.2217
"A6",6,0.2734
"A6",6.5,0.3305
"A6",7,0.3935
"A6",7.5,0.4581
"A6",8,0.5362
"A6",8.5,0.6126
"A6",9,0.6823
"A6",9.5,0.7442
"A6",10,0.7947
"A6",10.5,0.8502
"A6",11,0.8916
"A6",11.5,0.9226
"A6",12,0.9484
"A6",12.5,0.9691
"A6",13,0.9823
"A6",13.5,0.9984
"A6",14,1.0051
"A6",14.5,1.0074
"A6",15,1.0191
"A6",15.5,1.0224
"A6",16,1.0242
"A6",16.5,1.02
"A6",17,1.0243
"A6",17.5,1.0285
"A6",18,1.0279
"A6",18.5,1.0293
"A6",19,1.0351
"A6",19.5,1.0271
"A6",20,1.0241
"A6",20.5,1.0303
"A6",21,1.028
"A6",21.5,1.031
"A6",22,1.0279
"A6",22.5,1.0357
"A6",23,1.0298
"A6",23.5,1.0289
"A6",24,1.0297
"A7",0,0.051
"A7",0.5,0.053
"A7",1,0.0578
"A7",1.5,0.0619
"A7",2,0.0691
"A7",2.5,0.0798
"A7",3,0.0899
"A7",3.5,0.1088
"A7",4,0.1301
"A7",4.5,0.1562
"A7",5,0.1952
"A7",5.5,0.2322
"A7",6,0.2847
"A7",6.5,0.3469
"A7",7,0.4166
"A7",7.5,0.4912
"A7",8,0.5676
"A7",8.5,0.6462
"A7",9,0.7194
"A7",9.5,0.7881
"A7",10,0.8518
"A7",10.5,0.9021
"A7",11,0.946
"A7",11.5,0.976
"A7",12,1.0087
"A7",12.5,1.0288
"A7",13,1.0429
"A7",13.5,1.0599
"A7",14,1.0701
"A7",14.5,1.0742
"A7",15,1.078
"A7",15.5,1.0789
"A7",16,1.0839
"A7",16.5,1.0906
"A7",17,1.0913
"A7",17.5,1.092
"A7",18,1.0906
"A7",18.5,1.0903
"A7",19,1.0942
"A7",19.5,1.092
"A7",20,1.0901
"A7",20.5,1.0916
"A7",21,1.0924
"A7",21.5,1.0964
"A7",22,1.0978
"A7",22.5,1.0959
"A7",23,1.0906
"A7",23.5,1.0939
"A7",24,1.0907
"A8",0,0.0468
"A8",0.5,0.0543
"A8",1,0.0615
"A8",1.5,0.0653
"A8",2,0.0684
"A8",2.5,0.0819
"A8",3,0.0903
"A8",3.5,0.1078
"A8",4,0.1333
"A8",4.5,0.1568
"A8",5,0.1943
"A8",5.5,0.2342
"A8",6,0.2827
"A8",6.5,0.3453
"A8",7,0.4135
"A8",7.5,0.4902
"A8",8,0.5691
"A8",8.5,0.6481
"A8",9,0.723
"A8",9.5,0.7973
"A8",10,0.8497
"A8",10.5,0.9039
"A8",11,0.9487
"A8",11.5,0.9865
"A8",12,1.0099
"A8",12.5,1.0341
"A8",13,1.0432
"A8",13.5,1.0636
"A8",14,1.0676
"A8",14.5,1.0758
"A8",15,1.079
"A8",15.5,1.0862
"A8",16,1.0934
"A8",16.5,1.0972
"A8",17,1.0899
"A8",17.5,1.0951
"A8",18,1.0984
"A8",18.5,1.095
"A8",19,1.0954
"A8",19.5,1.0956
"A8",20,1.0982
"A8",20.5,1.1004
"A8",21,1.0987
"A8",21.5,1.0979
"A8",22,1.0964
"A8",22.5,1.0985
"A8",23,1.0959
"A8",23.5,1.0966
"A8",24,1.1001
"A9",0,0.0458
"A9",0.5,0.0524
"A9",1,0.0551
"A9",1.5,0.0603
"A9",2,0.0734
"A9",2.5,0.0796
"A9",3,0.0892
"A9",3.5,0.1059
"A9",4,0.1288
"A9",4.5,0.1593
"A9",5,0.1904
"A9",5.5,0.2325
"A9",6,0.2791
"A9",6.5,0.3426
"A9",7,0.411
"A9",7.5,0.4797
"A9",8,0.5658
"A9",8.5,0.6326
"A9",9,0.7083
"A9",9.5,0.7794
"A9",10,0.8389
"A9",10.5,0.8914
"A9",11,0.9339
"A9",11.5,0.9599
"A9",12,0.9958
"A9",12.5,1.015
"A9",13,1.0279
"A9",13.5,1.042
"A9",14,1.0499
"A9",14.5,1.0612
"A9",15,1.0642
"A9",15.5,1.064
"A9",16,1.0753
"A9",16.5,1.0775
"A9",17,1.0764
"A9",17.5,1.0744
"A9",18,1.08
"A9",18.5,1.0757
"A9",19,1.0774
"A9",19.5,1.0818
"A9",20,1.0815
"A9",20.5,1.0805
"A9",21,1.0793
"A9",21.5,1.0801
"A9",22,1.0814
"A9",22.5,1.0818
"A9",23,1.0773
"A9",23.5,1.0765
"A9",24,1.082
"A10",0,0.0516
"A10",0.5,0.0529
"A10",1,0.0568
"A10",1.5,0.064
"A10",2,0.0662
"A10",2.5,0.078
"A10",3,0.0911
"A10",3.5,0.1054
"A10",4,0.1272
"A10",4.5,0.1524
"A10",5,0.1906
"A10",5.5,0.2294
"A10",6,0.285
"A10",6.5,0.3338
"A10",7,0.4042
"A10",7.5,0.4797
"A10",8,0.5507
"A10",8.5,0.6227
"A10",9,0.6951
"A10",9.5,0.7639
"A10",10,0.8257
"A10",10.5,0.8741
"A10",11,0.9079
"A10",11.5,0.9448
"A10",12,0.9729
"A10",12.5,0.9897
"A10",13,1.0109
"A10",13.5,1.0149
"A10",14,1.0307
"A10",14.5,1.0362
"A10",15,1.0411
"A10",15.5,1.0454
"A10",16,1.0498
"A10",16.5,1.0522
"A10",17,1.0522
"A10",17.5,1.049
"A10",18,1.0511
"A10",18.5,1.0517
"A10",19,1.0579
"A10",19.5,1.0557
"A10",20,1.0572
"A10",20.5,1.0528
"A10",21,1.0555
"A10",21.5,1.0584
"A10",22,1.0566
"A10",22.5,1.0568
"A10",23,1.057
"A10",23.5,1.0603
"A10",24,1.0557
"A11",0,0.0477
"A11",0.5,0.0567
"A11",1,0.0552
"A11",1.5,0.0593
"A11",2,0.0641
"A11",2.5,0.0758
"A11",3,0.0923
"A11",3.5,0.1032
"A11",4,0.1309
"A11",4.5,0.1588
"A11",5,0.1912
"A11",5.5,0.231
"A11",6,0.287
"A11",6.5,0.3431
"A11",7,0.4116
"A11",7.5,0.483
"A11",8,0.564
"A11",8.5,0.6423
"A11",9,0.7133
"A11",9.5,0.7892
"A11",10,0.8436
"A11",10.5,0.8946
"A11",11,0.94
"A11",11.5,0.9749
"A11",12,0.9976
"A11",12.5,1.0212
"A11",13,1.0393
"A11",13.5,1.0487
"A11",14,1.0628
"A11",14.5,1.0615
"A11",15,1.0705
"A11",15.5,1.0778
"A11",16,1.0819
"A11",16.5,1.0819
"A11",17,1.0819
"A11",17.5,1.0878
"A11",18,1.0813
"A11",18.5,1.0874
"A11",19,1.0849
"A11",19.5,1.0878
"A11",20,1.0828
"A11",20.5,1.0916
"A11",21,1.0888
"A11",21.5,1.0834
"A11",22,1.0846
"A11",22.5,1.0927
"A11",23,1.0894
"A11",23.5,1.083
"A11",24,1.0882
"A12",0,0.054
"A12",0.5,0.0551
"A12",1,0.0553
"A12",1.5,0.062
"A12",2,0.0719
"A12",2.5,0.0732
"A12",3,0.0895
"A12",3.5,0.1034
"A12",4,0.1257
"A12",4.5,0.1506
"A12",5,0.1814
"A12",5.5,0.2239
"A12",6,0.264
"A12",6.5,0.3262
"A12",7,0.3835
"A12",7.5,0.4583
"A12",8,0.5295
"A12",8.5,0.6043
"A12",9,0.6713
"A12",9.5,0.7307
"A12",10,0.7856
"A12",10.5,0.8399
"A12",11,0.8778
"A12",11.5,0.9084
"A12",12,0.9343
"A12",12.5,0.9531
"A12",13,0.9695
"A12",13.5,0.9791
"A12",14,0.9852
"A12",14.5,0.9962
"A12",15,1.0044
"A12",15.5,1.0102
"A12",16,1.0082
"A12",16.5,1.01
"A12",17,1.0142
"A12",17.5,1.013
"A12",18,1.0126
"A12",18.5,1.0099
"A12",19,1.0116
"A12",19.5,1.0162
"A12",20,1.0117
"A12",20.5,1.0183
"A12",21,1.0123
"A12",21.5,1.0153
"A12",22,1.0159
"A12",22.5,1.0159
"A12",23,1.0164
"A12",23.5,1.0176
"A12",24,1.0157
"B1",0,0.054
"B1",0.5,0.0549
"B1",1,0.0541
"B1",1.5,0.0637
"B1",2,0.0663
"B1",2.5,0.0781
"B1",3,0.09
"B1",3.5,0.1038
"B1",4,0.13
"B1",4.5,0.1527
"B1",5,0.1869
"B1",5.5,0.232
"B1",6,0.2755
"B1",6.5,0.3347
"B1",7,0.3998
"B1",7.5,0.4749
"B1",8,0.5485
"B1",8.5,0.6214
"B1",9,0.697
"B1",9.5,0.7578
"B1",10,0.8192
"B1",10.5,0.8634
"B1",11,0.911
"B1",11.5,0.9425
"B1",12,0.9684
"B1",12.5,0.9856
"B1",13,1.004
"B1",13.5,1.0208
"B1",14,1.0281
"B1",14.5,1.0346
"B1",15,1.0393
"B1",15.5,1.0431
"B1",16,1.0402
"B1",16.5,1.042
"B1",17,1.0466
"B1",17.5,1.0528
"B1",18,1.0515
"B1",18.5,1.0487
"B1",19,1.0516
"B1",19.5,1.0521
"B1",20,1.0508
"B1",20.5,1.0534
"B1",21,1.0517
"B1",21.5,1.0533
"B1",22,1.0538
"B1",22.5,1.0514
"B1",23,1.0515
"B1",23.5,1.0508
"B1",24,1.0534
"B2",0,0.0551
"B2",0.5,0.0593
"B2",1,0.0589
"B2",1.5,0.0766
"B2",2,0.0831
"B2",2.5,0.0946
"B2",3,0.1102
"B2",3.5,0.1264
"B2",4,0.1478
"B2",4.5,0.1843
"B2",5,0.2264
"B2",5.5,0.2673
"B2",6,0.3296
"B2",6.5,0.4005
"B2",7,0.4769
"B2",7.5,0.5694
"B2",8,0.6561
"B2",8.5,0.7521
"B2",9,0.8351
"B2",9.5,0.9165
"B2",10,0.989
"B2",10.5,1.0448
"B2",11,1.0965
"B2",11.5,1.1337
"B2",12,1.1601
"B2",12.5,1.1892
"B2",13,1.2102
"B2",13.5,1.224
"B2",14,1.2329
"B2",14.5,1.238
"B2",15,1.2497
"B2",15.5,1.2496
"B2",16,1.2521
"B2",16.5,1.2602
"B2",17,1.2566
"B2",17.5,1.2624
"B2",18,1.2627
"B2",18.5,1.2595
"B2",19,1.2676
"B2",19.5,1.2627
"B2",20,1.2684
"B2",20.5,1.2636
"B2",21,1.2635
"B2",21.5,1.2653
"B2",22,1.2644
"B2",22.5,1.2645
"B2",23,1.263
"B2",23.5,1.262
"B2",24,1.2675
"B3",0,0.0601
"B3",0.5,0.0626
"B3",1,0.0709
"B3",1.5,0.0733
"B3",2,0.0812
"B3",2.5,0.0826
"B3",3,0.1049
"B3",3.5,0.1184
"B3",4,0.1455
"B3",4.5,0.1747
"B3",5,0.2166
"B3",5.5,0.2618
"B3",6,0.3186
"B3",6.5,0.3852
"B3",7,0.4626
"B3",7.5,0.941
"B3",8,0.6356
"B3",8.5,0.719
"B3",9,0.8046
"B3",9.5,0.8849
"B3",10,0.9428
"B3",10.5,1.006
"B3",11,1.054
"B3",11.5,1.0907
"B3",12,1.1197
"B3",12.5,1.147
"B3",13,1.1586
"B3",13.5,1.1717
"B3",14,1.1849
"B3",14.5,1.1929
"B3",15,1.2015
"B3",15.5,1.2057
"B3",16,1.2062
"B3",16.5,1.2073
"B3",17,1.2148
"B3",17.5,1.2053
"B3",18,1.2102
"B3",18.5,1.2143
"B3",19,1.21
"B3",19.5,1.215
"B3",20,1.2122
"B3",20.5,1.2131
"B3",21,1.2125
"B3",21.5,1.2178
"B3",22,1.2146
"B3",22.5,1.2137
"B3",23,1.2173
"B3",23.5,1.2224
"B3",24,1.2153
"B4",0,0.0545
"B4",0.5,0.0565
"B4",1,0.0698
"B4",1.5,0.0724
"B4",2,0.0813
"B4",2.5,0.0938
"B4",3,0.1059
"B4",3.5,0.1212
"B4",4,0.1446
"B4",4.5,0.1807
"B4",5,0.2218
"B4",5.5,0.2635
"B4",6,0.3304
"B4",6.5,0.4003
"B4",7,0.4818
"B4",7.5,0.5644
"B4",8,0.6544
"B4",8.5,0.7455
"B4",9,0.8296
"B4",9.5,0.9083
"B4",10,0.9784
"B4",10.5,1.0395
"B4",11,1.085
"B4",11.5,1.1243
"B4",12,1.1545
"B4",12.5,1.1786
"B4",13,1.2013
"B4",13.5,1.2193
"B4",14,1.2225
"B4",14.5,1.233
"B4",15,1.2366
"B4",15.5,1.247
"B4",16,1.2468
"B4",16.5,1.2508
"B4",17,1.2532
"B4",17.5,1.2504
"B4",18,1.2543
"B4",18.5,1.2547
"B4",19,1.258
"B4",19.5,1.2527
"B4",20,1.2531
"B4",20.5,1.2592
"B4",21,1.2553
"B4",21.5,1.2552
"B4",22,1.2576
"B4",22.5,1.2564
"B4",23,1.263
"B4",23.5,1.2582
"B4",24,1.258
"B5",0,0.0588
"B5",0.5,0.061
"B5",1,0.0683
"B5",1.5,0.0766
"B5",2,0.0802
"B5",2.5,0.0943
"B5",3,0.1027
"B5",3.5,0.1284
"B5",4,0.1543
"B5",4.5,0.182
"B5",5,0.2274
"B5",5.5,0.2831
"B5",6,0.3371
"B5",6.5,0.4072
"B5",7,0.4971
"B5",7.5,0.5795
"B5",8,0.6707
"B5",8.5,0.7665
"B5",9,0.8548
"B5",9.5,0.9267
"B5",10,1.0042
"B5",10.5,1.0614
"B5",11,1.1118
"B5",11.5,1.1514
"B5",12,1.1786
"B5",12.5,1.2133
"B5",13,1.2275
"B5",13.5,1.2487
"B5",14,1.2577
"B5",14.5,1.2583
"B5",15,1.2678
"B5",15.5,1.2794
"B5",16,1.2772
"B5",16.5,1.2748
"B5",17,1.2929
"B5",17.5,1.2865
"B5",18,1.285
"B5",18.5,1.2936
"B5",19,1.2932
"B5",19.5,1.2891
"B5",20,1.2832
"B5",20.5,1.287
"B5",21,1.2893
"B5",21.5,1.2858
"B5",22,1.2857
"B5",22.5,1.2864
"B5",23,1.2807
"B5",23.5,1.2934
"B5",24,1.2916
"B6",0,0.0561
"B6",0.5,0.0617
"B6",1,0.0672
"B6",1.5,0.0692
"B6",2,0.0784
"B6",2.5,0.0873
"B6",3,0.1078
"B6",3.5,0.1248
"B6",4,0.1429
"B6",4.5,0.1776
"B6",5,0.2129
"B6",5.5,0.2572
"B6",6,0.3184
"B6",6.5,0.3826
"B6",7,0.4616
"B6",7.5,0.5406
"B6",8,0.6306
"B6",8.5,0.7114
"B6",9,0.7958
"B6",9.5,0.8716
"B6",10,0.9378
"B6",10.5,0.9942
"B6",11,1.0404
"B6",11.5,1.0779
"B6",12,1.1122
"B6",12.5,1.1342
"B6",13,1.1475
"B6",13.5,1.1672
"B6",14,1.1738
"B6",14.5,1.1793
"B6",15,1.1876
"B6",15.5,1.191
"B6",16,1.195
"B6",16.5,1.1942
"B6",17,1.1965
"B6",17.5,1.2043
"B6",18,1.2041
"B6",18.5,1.1993
"B6",19,1.1998
"B6",19.5,1.2081
"B6",20,1.209
"B6",20.5,1.2011
"B6",21,1.1997
"B6",21.5,1.2116
"B6",22,1.2045
"B6",22.5,1.2045
"B6",23,1.2042
"B6",23.5,1.2082
"B6",24,1.2035
"B7",0,0.0588
"B7",0.5,0.0629
"B7",1,0.0692
"B7",1.5,0.0736
"B7",2,0.0854
"B7",2.5,0.0964
"B7",3,0.1032
"B7",3.5,0.1254
"B7",4,0.1495
"B7",4.5,0.1854
"B7",5,0.233
"B7",5.5,0.2793
"B7",6,0.3359
"B7",6.5,0.413
"B7",7,0.4924
"B7",7.5,0.5829
"B7",8,0.676
"B7",8.5,0.7642
"B7",9,0.8617
"B7",9.5,0.9424
"B7",10,1.0104
"B7",10.5,1.0686
"B7",11,1.119
"B7",11.5,1.1676
"B7",12,1.2
"B7",12.5,1.2205
"B7",13,1.2434
"B7",13.5,1.2582
"B7",14,1.2731
"B7",14.5,1.2781
"B7",15,1.2886
"B7",15.5,1.2883
"B7",16,1.2934
"B7",16.5,1.2968
"B7",17,1.2955
"B7",17.5,1.3035
"B7",18,1.3004
"B7",18.5,1.3028
"B7",19,1.3006
"B7",19.5,1.3039
"B7",20,1.3004
"B7",20.5,1.303
"B7",21,1.3025
"B7",21.5,1.3047
"B7",22,1.3024
"B7",22.5,1.3017
"B7",23,1.2996
"B7",23.5,1.2983
"B7",24,1.2976
"B8",0,0.0568
"B8",0.5,0.0673
"B8",1,0.0683
"B8",1.5,0.0708
"B8",2,0.0846
"B8",2.5,0.0874
"B8",3,0.1079
"B8",3.5,0.1312
"B8",4,0.1518
"B8",4.5,0.1888
"B8",5,0.2308
"B8",5.5,0.2721
"B8",6,0.3328
"B8",6.5,0.4047
"B8",7,0.4898
"B8",7.5,0.5788
"B8",8,0.672
"B8",8.5,0.7643
"B8",9,0.8517
"B8",9.5,0.932
"B8",10,1.0009
"B8",10.5,1.0584
"B8",11,1.1091
"B8",11.5,1.153
"B8",12,1.1888
"B8",12.5,1.2139
"B8",13,1.2222
"B8",13.5,1.2402
"B8",14,1.258
"B8",14.5,1.2589
"B8",15,1.2635
"B8",15.5,1.2749
"B8",16,1.2818
"B8",16.5,1.285
"B8",17,1.2827
"B8",17.5,1.2847
"B8",18,1.2853
"B8",18.5,1.2843
"B8",19,1.2749
"B8",19.5,1.2877
"B8",20,1.2846
"B8",20.5,1.289
"B8",21,1.2843
"B8",21.5,1.2814
"B8",22,1.2901
"B8",22.5,1.287
"B8",23,1.297
"B8",23.5,1.2893
"B8",24,1.2897
"B9",0,0.0569
"B9",0.5,0.0616
"B9",1,0.0663
"B9",1.5,0.0764
"B9",2,0.0847
"B9",2.5,0.1003
"B9",3,0.1107
"B9",3.5,0.1258
"B9",4,0.1503
"B9",4.5,0.1895
"B9",5,0.2245
"B9",5.5,0.2787
"B9",6,0.3374
"B9",6.5,0.4095
"B9",7,0.486
"B9",7.5,0.5714
"B9",8,0.668
"B9",8.5,0.761
"B9",9,0.8476
"B9",9.5,0.9318
"B9",10,0.998
"B9",10.5,1.055
"B9",11,1.1098
"B9",11.5,1.1481
"B9",12,1.1838
"B9",12.5,1.2039
"B9",13,1.2225
"B9",13.5,1.2348
"B9",14,1.2466
"B9",14.5,1.2553
"B9",15,1.2581
"B9",15.5,1.2718
"B9",16,1.2755
"B9",16.5,1.2729
"B9",17,1.2773
"B9",17.5,1.2807
"B9",18,1.2828
"B9",18.5,1.2823
"B9",19,1.2829
"B9",19.5,1.2826
"B9",20,1.2793
"B9",20.5,1.2832
"B9",21,1.2858
"B9",21.5,1.2809
"B9",22,1.2861
"B9",22.5,1.2846
"B9",23,1.2837
"B9",23.5,1.2832
"B9",24,1.2884
"B10",0,0.0565
"B10",0.5,0.0605
"B10",1,0.064
"B10",1.5,0.066
"B10",2,0.084
"B10",2.5,0.0948
"B10",3,0.1063
"B10",3.5,0.1236
"B10",4,0.1477
"B10",4.5,0.1825
"B10",5,0.2215
"B10",5.5,0.2709
"B10",6,0.3287
"B10",6.5,0.3999
"B10",7,0.4779
"B10",7.5,0.564
"B10",8,0.6535
"B10",8.5,0.7466
"B10",9,0.8242
"B10",9.5,0.9105
"B10",10,0.9743
"B10",10.5,1.0341
"B10",11,1.0834
"B10",11.5,1.1213
"B10",12,1.1461
"B10",12.5,1.1772
"B10",13,1.197
"B10",13.5,1.2059
"B10",14,1.2236
"B10",14.5,1.2283
"B10",15,1.2405
"B10",15.5,1.2415
"B10",16,1.2417
"B10",16.5,1.2471
"B10",17,1.2493
"B10",17.5,1.2527
"B10",18,1.2505
"B10",18.5,1.2456
"B10",19,1.2484
"B10",19.5,1.2502
"B10",20,1.2543
"B10",20.5,1.2524
"B10",21,1.2516
"B10",21.5,1.251
"B10",22,1.2541
"B10",22.5,1.2512
"B10",23,1.2526
"B10",23.5,1.251
"B10",24,1.2497
"B11",0,0.0593
"B11",0.5,0.0673
"B11",1,0.0711
"B11",1.5,0.0769
"B11",2,0.0807
"B11",2.5,0.0978
"B11",3,0.1083
"B11",3.5,0.1329
"B11",4,0.1489
"B11",4.5,0.1842
"B11",5,0.2258
"B11",5.5,0.2779
"B11",6,0.3355
"B11",6.5,0.4097
"B11",7,0.4831
"B11",7.5,0.5762
"B11",8,0.6687
"B11",8.5,0.7627
"B11",9,0.8484
"B11",9.5,0.9278
"B11",10,1.0032
"B11",10.5,1.0641
"B11",11,1.11
"B11",11.5,1.1508
"B11",12,1.1858
"B11",12.5,1.2115
"B11",13,1.2338
"B11",13.5,1.2468
"B11",14,1.2617
"B11",14.5,1.2657
"B11",15,1.2754
"B11",15.5,1.2715
"B11",16,1.2766
"B11",16.5,1.2792
"B11",17,1.2788
"B11",17.5,1.2864
"B11",18,1.2806
"B11",18.5,1.29
"B11",19,1.2882
"B11",19.5,1.2897
"B11",20,1.2892
"B11",20.5,1.2934
"B11",21,1.2901
"B11",21.5,1.2907
"B11",22,1.2839
"B11",22.5,1.292
"B11",23,1.2887
"B11",23.5,1.2835
"B11",24,1.2901
"B12",0,0.0524
"B12",0.5,0.0502
"B12",1,0.0604
"B12",1.5,0.0641
"B12",2,0.0723
"B12",2.5,0.0776
"B12",3,0.0866
"B12",3.5,0.1061
"B12",4,0.1258
"B12",4.5,0.1605
"B12",5,0.1875
"B12",5.5,0.2298
"B12",6,0.2835
"B12",6.5,0.3417
"B12",7,0.409
"B12",7.5,0.4873
"B12",8,0.5577
"B12",8.5,0.6387
"B12",9,0.7078
"B12",9.5,0.7707
"B12",10,0.828
"B12",10.5,0.8858
"B12",11,0.9234
"B12",11.5,0.9598
"B12",12,0.9909
"B12",12.5,1.008
"B12",13,1.0224
"B12",13.5,1.0304
"B12",14,1.0425
"B12",14.5,1.0501
"B12",15,1.0585
"B12",15.5,1.0619
"B12",16,1.0636
"B12",16.5,1.0662
"B12",17,1.0666
"B12",17.5,1.0686
"B12",18,1.0701
"B12",18.5,1.0712
"B12",19,1.0752
"B12",19.5,1.0681
"B12",20,1.075
"B12",20.5,1.0731
"B12",21,1.0676
"B12",21.5,1.071
"B12",22,1.0701
"B12",22.5,1.0694
"B12",23,1.0679
"B12",23.5,1.0706
"B12",24,1.0708
"C1",0,0.0507
